"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U1","SideSwitch","4655.512mil","1643.701mil","4655.512mil","1643.701mil","4655.512mil","1543.701mil","T","90.00","SideSwitch"
"SW2","Long_Button_2","4931.102mil","1722.441mil","4931.102mil","1722.441mil","4844.488mil","1840.551mil","T","90.00","Switch"
"R7","RES_0805","5255.905mil","1377.953mil","5255.905mil","1377.953mil","5295.276mil","1377.953mil","B","180.00","1K"
"L1","3641","5365mil","1975mil","5165mil","2225mil","5165mil","2225mil","T","270.00","7 Segment"
"R9","RES_0805","4921.26mil","2509.843mil","4921.26mil","2509.843mil","4881.89mil","2509.843mil","T","0.00","0"
"R8","RES_0805","4921.26mil","2440.945mil","4921.26mil","2440.945mil","4881.89mil","2440.945mil","T","0.00","0"
"P1","DC050","5105mil","2876.535mil","5105mil","2910mil","5341.221mil","2998.583mil","T","180.00","DC IN"
"LED","PJ313D","4808.661mil","1302.165mil","4832.677mil","1302.165mil","4674.803mil","1434.055mil","T","90.00","3.5mm jack"
"R1","RES_0805","5187.008mil","1200.787mil","5187.008mil","1200.787mil","5226.378mil","1200.787mil","T","180.00","1K"
"R2","RES_0805","4832.677mil","2263.78mil","4832.677mil","2263.78mil","4832.677mil","2303.15mil","T","270.00","1K"
"R3","RES_0805","4655.512mil","2076.772mil","4655.512mil","2076.772mil","4616.142mil","2076.772mil","T","360.00","1K"
"R4","RES_0805","5698.819mil","1811.024mil","5698.819mil","1811.024mil","5698.819mil","1850.394mil","B","270.00","1K"
"R5","RES_0805","5570.866mil","2381.89mil","5570.866mil","2381.89mil","5570.866mil","2342.52mil","B","90.00","1K"
"R6","RES_0805","5501.968mil","2381.89mil","5501.968mil","2381.89mil","5501.968mil","2342.52mil","B","90.00","1K"
"SW1","Long_Button_2","4931.102mil","2037.402mil","4931.102mil","2037.402mil","4844.488mil","2155.512mil","T","90.00","Switch"
"P2","HDR1X2","5485mil","2690mil","5485mil","2740mil","5485mil","2740mil","T","270.00","Header 2"
"U2","Arduino_pro_mini","5055mil","2075mil","5355mil","2625mil","4755mil","2025mil","B","180.00","Arduino pro mini"

